33[64]	Imp. Caesar Divi f. II (1 January only)	L. Volcacius Tullus (January–April)
suff.	L. Autronius Paetus (2 January–April)	
suff.	L. Flavius (May–June or August)	C. Fonteius Capito (May–June or August)
suff.	M. Acilius Glabrio (July–August or September)	
suff.	L. Vinicius (September–December)	
suff.		Q. Laronius (October–December)
32	Cn. Domitius Ahenobarbus	C. Sosius
suff.	L. Cornelius Cinna	M. Valerius Messalla
31	M. Antonius III (only in the east)	Imp. Caesar Divi f. III
suff.	M. Valerius Messalla Corvinus	
suff.	M. Titius	
suff.	Cn. Pompeius	
30	Imp. Caesar Divi f. IV	M. Licinius Crassus
suff.		C. Antistius Vetus
suff.		M. Tullius Cicero
suff.		L. Saenius
29	Imp. Caesar Divi f. V	Sex. Appuleius
suff.		Potitus Valerius Messalla
28	Imp. Caesar Divi f. VI	M. Vipsanius Agrippa II
27	Imp. Caesar Divi f. Augustus VII	M. Vipsanius Agrippa III
26	Imp. Caesar Divi f. Augustus VIII	T. Statilius Taurus II
25	Imp. Caesar Divi f. Augustus IX	M. Junius Silanus
24	Imp. Caesar Divi f. Augustus X	C. Norbanus Flaccus
23[65]	Imp. Caesar Divi f. Augustus XI (January–1 July)	Cn. Calpurnius Piso (served the entire year)[66]
suff.	L. Sestius Albanianus Quirinalis (1 July–December)	
22	M. Claudius Marcellus Aeserninus	L. Arruntius[67]
21	M. Lollius	Q. Aemilius Lepidus
20	M. Appuleius	P. Silius Nerva
19[68]	C. Sentius Saturninus
(until some point between 1 August and 12 October)	sine collega
suff.	M. Vinicius (before 12 October–December)	Q. Lucretius Vespillo (before 12 October–December)
18	Publius Cornelius Lentulus Marcellinus	Cn. Cornelius Lentulus
17	C. Furnius	C. Junius Silanus
16	L. Domitius Ahenobarbus	P. Cornelius Scipio
suff.		L. Tarius Rufus
15	M. Livius Drusus Libo	L. Calpurnius Piso
14	M. Licinius Crassus Frugi	Cn. Cornelius Lentulus Augur
13	Ti. Claudius Nero I	P. Quinctilius Varus
